Time,Lap_Number,Engine_RPM,Engine_Torque_Nm,Speed_MS,Lat_Accel_G,Long_Accel_G,Pitch_Rad,Roll_Rad,CG_Height_m,Load_FL_N,Load_FR_N,Load_RL_N,Load_RR_N
4.398,1,0,0.0,0.0,-0.019,0.144,0.977,0.0203,0.0,2,0,0,100
4.414,1,0,0.0,0.01,-0.059,-0.141,0.977,0.0208,0.0,-2,0,0,100
4.444,1,0,0.0,0.0,-0.019,-0.151,0.977,0.0191,0.0,-2,0,0,100
4.461,1,0,0.0,0.0,0.033,-0.135,0.977,0.0191,0.0,-2,0,0,100
4.477,1,0,0.0,0.0,-0.041,0.166,0.977,0.0206,0.0,2,0,0,100
4.507,1,0,0.0,0.0,0.057,0.126,0.977,0.0203,0.0,2,0,0,100
4.538,1,0,0.0,0.01,0.004,0.15,0.977,0.0192,0.0,2,0,0,100
4.569,1,0,0.0,0.0,0.042,-0.149,0.977,0.0191,0.0,-2,0,0,100
4.585,1,0,0.0,0.0,0.014,0.143,0.977,0.0204,0.0,2,0,0,100
4.617,1,0,0.0,0.0,0.016,-0.139,0.977,0.0189,0.0,-2,0,0,100
4.633,1,0,0.0,0.0,0.089,0.144,0.977,0.0201,0.0,2,0,0,100
4.665,1,0,0.0,0.0,0.062,-0.153,0.977,0.0162,0.0,-2,0,0,100
4.681,1,0,0.0,0.0,-0.047,0.14,0.977,0.0154,0.0,2,0,0,100
4.712,1,0,0.0,0.0,-0.053,0.144,0.977,0.0167,0.0,2,0,0,100
4.743,1,0,0.0,0.0,-0.05,-0.135,0.977,0.0185,0.0,-2,0,0,100
4.774,1,0,0.0,0.0,-0.15,-0.119,0.977,0.0211,0.0,-2,0,0,100
4.805,1,0,0.0,0.01,-0.049,-0.133,0.977,0.0204,0.0,-2,0,0,100
4.837,1,0,0.0,0.01,0.225,0.151,0.977,0.0212,0.0,2,0,0,100
4.868,1,0,0.0,0.0,-0.117,-0.143,0.977,0.021,0.0,-2,0,0,100
4.9,1,0,0.0,0.0,-0.119,-0.153,0.977,0.0204,0.0,-2,0,0,100
4.917,1,0,0.0,0.01,-0.024,-0.159,0.977,0.0208,0.0,-2,0,0,100
4.947,1,0,0.0,0.01,-0.079,-0.154,0.977,0.0211,0.0,-2,0,0,100
4.963,1,0,0.0,0.0,0.069,0.129,0.977,0.0211,0.0,2,0,0,100
4.994,1,0,0.0,0.01,-0.033,0.159,0.977,0.0212,0.0,2,0,0,100
5.025,1,0,0.0,0.0,0.021,-0.151,0.977,0.0186,0.0,-2,0,0,100
5.055,1,0,0.0,0.0,0.089,-0.14,0.977,0.0165,0.0,-2,0,0,100
5.085,1,0,0.0,0.0,0.107,-0.136,0.977,0.0181,0.0,-2,0,0,100
5.116,1,0,0.0,0.0,0.017,-0.114,0.977,0.0192,0.0,-2,0,0,100
5.146,1,0,0.0,0.0,0.01,-0.154,0.977,0.0212,0.0,-2,0,0,100
5.178,1,0,0.0,0.0,0.056,0.147,0.977,0.0195,0.0,2,0,0,100
5.209,1,0,0.0,0.0,-0.044,0.142,0.977,0.0179,0.0,2,0,0,100
5.225,1,0,0.0,0.0,-0.011,0.135,0.977,0.0176,0.0,2,0,0,100
5.256,1,0,0.0,0.0,-0.029,0.152,0.977,0.019,0.0,2,0,0,100
5.287,1,0,0.0,0.0,0.009,0.159,0.977,0.0207,0.0,2,0,0,100
5.318,1,0,0.0,0.0,-0.014,-0.15,0.977,0.0193,0.0,-2,0,0,100
5.349,1,0,0.0,0.0,-0.023,-0.146,0.977,0.0206,0.0,-2,0,0,100
5.381,1,0,0.0,0.01,0.174,-0.122,0.977,0.0206,0.0,-2,0,0,100
5.397,1,0,0.0,0.01,-0.041,-0.166,0.977,0.021,0.0,-2,0,0,100
5.428,1,0,0.0,0.01,0.035,-0.142,0.9769,0.0194,0.0,-2,0,0,100
5.445,1,0,0.0,0.0,-0.166,-0.158,0.9769,0.0189,0.0,-2,0,0,100
5.475,1,0,0.0,0.01,-0.026,-0.134,0.9769,0.017,0.0,-2,0,0,100
5.507,1,0,0.0,0.01,0.099,-0.143,0.9769,0.017,0.0,-2,0,0,100
5.538,1,0,0.0,0.01,0.045,0.15,0.9769,0.0172,0.0,2,0,0,100
5.568,1,0,0.0,0.0,-0.01,0.12,0.9769,0.0179,0.0,2,0,0,100
5.6,1,0,0.0,0.01,-0.056,0.136,0.9769,0.0174,0.0,2,0,0,100
5.63,1,0,0.0,0.0,-0.028,-0.122,0.9769,0.0189,0.0,-2,0,0,100
5.661,1,0,0.0,0.0,-0.015,-0.154,0.9769,0.0209,0.0,-2,0,0,100
5.691,1,0,0.0,0.0,0.013,-0.168,0.9769,0.0208,0.0,-2,0,0,100
5.708,1,0,0.0,0.0,-0.05,0.157,0.9769,0.0209,0.0,2,0,0,100
5.738,1,0,0.0,0.0,-0.029,-0.166,0.9769,0.02,0.0,-2,0,0,100
5.77,1,0,0.0,0.0,-0.003,-0.156,0.9769,0.0201,0.0,-2,0,0,100
5.802,1,0,0.0,0.0,0.046,0.144,0.9769,0.0205,0.0,2,0,0,100
5.818,1,0,0.0,0.0,0.076,-0.143,0.9769,0.0185,0.0,-2,0,0,100
5.85,1,0,0.0,0.0,0.083,0.143,0.9769,0.0184,0.0,2,0,0,100
5.881,1,0,0.0,0.01,0.035,0.153,0.9769,0.0194,0.0,2,0,0,100
5.897,1,0,0.0,0.01,-0.159,-0.129,0.9769,0.0204,0.0,-2,0,0,100
5.913,1,0,0.0,0.01,-0.049,-0.151,0.9769,0.0211,0.0,-2,0,0,100
5.944,1,0,0.0,0.0,-0.007,-0.179,0.9769,0.0202,0.0,-2,0,0,100
5.96,1,0,0.0,0.0,0.029,0.153,0.9769,0.0192,0.0,2,0,0,100
5.992,1,0,0.0,0.01,0.009,-0.148,0.9769,0.0191,0.0,-2,0,0,100
6.022,1,0,0.0,0.0,0.048,-0.152,0.9769,0.0194,0.0,-2,0,0,100
